stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_4_201,201,CASADECAMPO,,40.40321,minus3.76101,A,http:__www.crtm.es,0,est_4_103,,2
par_4_194,194,GREGORIOMARANON,,40.43753,minus3.69127,A,http:__www.crtm.es,0,est_4_142,,2
acc_4_279_684,279,Ascensor,AvdadelaErmita5,40.53199,minus3.63548,,http:__www.crtm.es,2,est_4_279,,0
par_4_188,188,BEGONA,,40.48041,minus3.68585,A,http:__www.crtm.es,0,,Europe_Madrid,0
par_4_278,278,LAGRANJA,,40.5276,minus3.65859,B1,http:__www.crtm.es,0,,Europe_Madrid,2
est_4_278,278,LAGRANJA,,40.5276,minus3.65859,B1,http:__www.crtm.es,1,,Europe_Madrid,2
par_4_198,198,PRINCIPEPIO,,40.42103,minus3.72033,A,http:__www.crtm.es,0,est_90_18,,1
par_4_283,283,REYESCATOLICOS,,40.55037,minus3.6234,B1,http:__www.crtm.es,0,,Europe_Madrid,2
est_4_281,281,MANUELDEFALLA,,40.55048,minus3.64688,B1,http:__www.crtm.es,1,,Europe_Madrid,2
par_4_197,197,PLAZADEESPANA,,40.42409,minus3.7097,A,http:__www.crtm.es,0,est_4_50,,2
par_4_199,199,LAGO,,40.41641,minus3.73563,A,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_275,275,MONTECARMELO,,40.50525,minus3.69575,A,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_196,196,TRIBUNAL,,40.426,minus3.70208,A,http:__www.crtm.es,0,est_4_10,,0
est_4_279,279,LAMORALEJA,,40.53196,minus3.63556,B1,http:__www.crtm.es,1,,Europe_Madrid,2
acc_4_281_679,281,Ascensor,CalleManueldeFalla59,40.55063,minus3.64682,,http:__www.crtm.es,2,est_4_281,,0
par_4_284,284,HOSPITALINFANTASOFIA,,40.55977,minus3.61145,B1,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_279,279,LAMORALEJA,,40.53196,minus3.63556,B1,http:__www.crtm.es,0,,Europe_Madrid,2
acc_4_281_678,281,ManueldeFalla,CalleManueldeFalla59,40.55044,minus3.64708,,http:__www.crtm.es,2,est_4_281,,0
acc_4_280_680,280,MarquesdelaValdavia,CalledelMarquesdelaValdavia21,40.54112,minus3.63739,,http:__www.crtm.es,2,est_4_280,,0
par_4_274,274,TRESOLIVOS,,40.5012,minus3.6952,A,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_191,191,CUZCO,,40.45842,minus3.68985,A,http:__www.crtm.es,0,,Europe_Madrid,0
par_4_277,277,RONDADELACOMUNICACION,,40.51553,minus3.66277,A,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_189,189,CHAMARTIN,,40.4721,minus3.68259,A,http:__www.crtm.es,0,est_90_25,,2
par_4_280,280,MARQUESDELAVALDAVIA,,40.54102,minus3.63738,B1,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_190,190,PLAZADECASTILLA,,40.4669,minus3.68909,A,http:__www.crtm.es,0,est_90_21,,0
par_4_195,195,ALONSOMARTINEZ,,40.42853,minus3.69643,A,http:__www.crtm.es,0,est_4_57,,0
par_4_204,204,JOAQUINVILUMBRALES,,40.34985,minus3.8072,B1,http:__www.crtm.es,0,,Europe_Madrid,2
acc_4_278_685,278,LaGranja,CalledeSepulveda1,40.52763,minus3.65865,,http:__www.crtm.es,2,est_4_278,,0
acc_4_279_683,279,Avda.Bruselas,AvdadelaErmita5,40.53187,minus3.6355,,http:__www.crtm.es,2,est_4_279,,0
par_4_257,257,AVIACIONESPANOLA,,40.38364,minus3.78392,A,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_203,203,CUATROVIENTOS,,40.37771,minus3.79152,A,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_276,276,LASTABLAS,,40.50833,minus3.66944,A,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_187,187,FUENCARRAL,,40.49509,minus3.69283,A,http:__www.crtm.es,0,,Europe_Madrid,0
est_4_280,280,MARQUESDELAVALDAVIA,,40.54102,minus3.63738,B1,http:__www.crtm.es,1,,Europe_Madrid,2
acc_4_280_681,280,Ascensor,CalledelMarquesdelaValdavia21,40.54107,minus3.63755,,http:__www.crtm.es,2,est_4_280,,0
acc_4_278_686,278,Ascensor,CalledelaGranja14,40.52772,minus3.65855,,http:__www.crtm.es,2,est_4_278,,0
par_4_205,205,PUERTADELSUR,,40.34524,minus3.81211,B1,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_192,192,SANTIAGOBERNABEU,,40.45159,minus3.69038,A,http:__www.crtm.es,0,,Europe_Madrid,0
par_4_282,282,BAUNATAL,,40.55442,minus3.63513,B1,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_193,193,NUEVOSMINISTERIOS,,40.44659,minus3.69241,A,http:__www.crtm.es,0,est_90_71,,2
par_4_281,281,MANUELDEFALLA,,40.55048,minus3.64688,B1,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_200,200,BATAN,,40.40786,minus3.75311,A,http:__www.crtm.es,0,,Europe_Madrid,2
par_4_202,202,COLONIAJARDIN,,40.39698,minus3.77462,A,http:__www.crtm.es,0,,Europe_Madrid,2